,0,1,2,3,4,5,6,7,8,9,10,11
20,cds-WP_032428655.1,cds-WP_002919796.1,cds-WP_002895166.1,cds-WP_032430155.1,cds-WP_013815099.1-55,cds-WP_013815099.1-76,cds-WP_032429885.1,cds-WP_004144972.1,cds-WP_004174069.1-2,cds-WP_002882917.1,cds-WP_013815099.1-51,cds-WP_002919206.1
21,cds-WP_002919773.1,cds-WP_002919662.1,cds-WP_002915259.1,cds-WP_004901914.1,cds-WP_013815099.1-42,cds-WP_013815099.1-83,cds-AF52_RS27415,cds-WP_002889299.1,cds-WP_002919773.1,cds-WP_002918252.1,cds-WP_013815099.1-72,cds-WP_002901243.1
22,cds-WP_002884747.1,cds-WP_002919224.1,cds-WP_002920103.1,cds-WP_002898408.1,cds-WP_013815099.1-15,cds-WP_013815099.1-36,cds-AF52_RS27235,cds-WP_002919516.1,cds-WP_002914027.1,cds-WP_002884342.1,cds-WP_013815099.1-45,cds-WP_032430155.1
23,cds-WP_032428654.1,cds-WP_002894949.1,cds-WP_002919786.1,cds-WP_004144997.1,cds-WP_013815099.1-75,cds-WP_013815099.1-13,cds-AF52_RS27655,cds-WP_002919257.1,cds-WP_004174272.1,cds-WP_002919748.1,cds-WP_013815099.1-25,cds-WP_004151922.1
24,cds-WP_000617546.1,cds-WP_001096200.1,cds-WP_004151550.1,cds-WP_021441082.1,cds-WP_013815099.1-60,cds-WP_013815099.1-69,cds-WP_013815099.1-54,cds-WP_032430210.1,cds-WP_002913505.1,cds-WP_004150973.1,cds-WP_013815099.1-83,cds-WP_002916613.1
25,cds-WP_004144748.1,cds-WP_002919257.1,cds-WP_032429482.1,cds-WP_015958605.1,cds-WP_013815099.1-70,cds-WP_013815099.1-58,cds-AF52_RS27260,cds-WP_032430211.1,cds-WP_001181005.1,cds-WP_002899276.1,cds-WP_013815099.1-28,cds-WP_004144995.1
26,cds-WP_002885145.1,cds-WP_032429672.1,cds-WP_021441082.1,cds-WP_004150295.1,cds-WP_013815099.1-83,cds-WP_013815099.1-6,cds-WP_032430142.1,cds-WP_002919667.1,cds-WP_032430277.1,cds-WP_002919667.1,cds-WP_013815099.1-48,cds-WP_004179068.1
27,cds-WP_002884146.1,cds-WP_002895039.1,cds-WP_000290724.1,cds-WP_004900541.1,cds-WP_013815099.1-57,cds-AF52_RS01000,cds-AF52_RS27040,cds-WP_032429569.1,cds-WP_002915217.1,cds-WP_002919773.1,cds-WP_013815099.1-43,cds-WP_032428655.1
28,cds-WP_085921749.1,cds-WP_002919545.1,cds-WP_004150817.1,cds-WP_002914027.1,cds-WP_013815099.1-66,cds-WP_013815099.1-75,cds-WP_013815099.1-82,cds-WP_002918364.1,cds-WP_004181324.1,cds-WP_002914145.1,cds-WP_013815099.1-13,cds-AF52_RS0123645
29,cds-WP_002891641.1,cds-WP_032428654.1,cds-WP_002898162.1,cds-WP_032430213.1,cds-WP_013815099.1-9,cds-WP_013815099.1-24,cds-WP_013815099.1-46,cds-WP_002918241.1,cds-WP_004152420.1,cds-WP_002911381.1,cds-WP_013815099.1-47,cds-WP_002898590.1
30,cds-WP_032430213.1,cds-WP_004900541.1,cds-WP_002919751.1,cds-WP_000103754.1,cds-WP_013815099.1-17,cds-WP_013815099.1-62,cds-WP_013815099.1-81,cds-WP_004901914.1,cds-WP_002883016.1,cds-AF52_RS25365,cds-WP_013815099.1-78,cds-WP_004140697.1
31,cds-WP_002913158.1,cds-WP_002919759.1,cds-WP_002901243.1,cds-WP_004142209.1,cds-WP_013815099.1-65,cds-WP_013815099.1-8,cds-WP_013815099.1-11,cds-WP_002918252.1,cds-WP_002914160.1,cds-WP_002914769.1,cds-WP_013815099.1-31,cds-WP_012068464.1
32,cds-WP_002919219.1,cds-WP_004885708.1,cds-WP_002898139.1,cds-WP_002919219.1,cds-WP_013815099.1-14,cds-WP_013815099.1-19,cds-WP_013815099.1-18,cds-WP_001181005.1,cds-WP_004145972.1,cds-WP_002919259.1,cds-WP_013815099.1-59,cds-WP_002916310.1
