,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
15,cds-WP_002898408.1,cds-WP_002919515.1,cds-WP_032429669.1,cds-WP_002884747.1,cds-WP_002888731.1,cds-WP_002918364.1,cds-WP_020802781.1,cds-WP_187079192.1,cds-AF52_RS0123460,cds-WP_004144994.1,cds-WP_002908416.1,cds-AF52_RS27235,cds-AF52_RS0124695,cds-WP_004140076.1,cds-WP_004901172.1,cds-WP_002898992.1,cds-WP_032429520.1,cds-WP_004150056.1,cds-WP_002913150.1,cds-WP_187079188.1,cds-WP_002883016.1,cds-WP_002919206.1
16,cds-WP_021441401.1,cds-WP_002884142.1,cds-WP_002913196.1,cds-WP_004144996.1,cds-WP_002919786.1,cds-WP_002901783.1,cds-WP_002888735.1,cds-AF52_RS27300,cds-AF52_RS27300,cds-WP_004151552.1,cds-WP_002921919.1,cds-WP_032429885.1,cds-AF52_RS27300,cds-WP_021441082.1,cds-WP_004151550.1,cds-WP_004152420.1,cds-WP_032430113.1,cds-WP_002920103.1,cds-WP_032428394.1,cds-WP_073545955.1,cds-WP_002882755.1,cds-WP_002901243.1
17,cds-WP_002888735.1,cds-WP_002901243.1,cds-WP_000290724.1,cds-WP_004142216.1,cds-WP_023285394.1,cds-WP_002884036.1,cds-WP_002912878.1,cds-AF52_RS16545,cds-AF52_RS20245,cds-WP_004144995.1,cds-WP_004234160.1,cds-AF52_RS27655,cds-AF52_RS20245,cds-WP_002886827.1,cds-WP_004148994.1,cds-WP_002919773.1,cds-AF52_RS26200,cds-WP_002884725.1,cds-WP_032103829.1,cds-WP_170965341.1,cds-WP_002891629.1,cds-WP_032428654.1
18,cds-WP_050484295.1,cds-WP_004142209.1,cds-WP_002886827.1,cds-WP_002884740.1,cds-WP_021440531.1,cds-WP_002919224.1,cds-WP_004214006.1,cds-AF52_RS22870,cds-AF52_RS0124695,cds-WP_002919766.1,cds-WP_004143954.1,cds-AF52_RS27585,cds-AF52_RS16545,cds-WP_004145860.1,cds-WP_021440816.1,cds-WP_002889299.1,cds-AF52_RS27080,cds-WP_004176682.1,cds-WP_021441596.1,cds-WP_171290763.1,cds-WP_002903693.1,cds-WP_032430155.1
19,cds-WP_002919754.1,cds-WP_004901914.1,cds-WP_020802781.1,cds-WP_002919759.1,cds-WP_004174069.1-2,cds-WP_002886682.1,cds-WP_002894949.1,cds-AF52_RS20245,cds-WP_004141101.1,cds-WP_004140835.1,cds-WP_004140406.1,cds-WP_032430113.1,cds-AF52_RS01000,cds-WP_032429671.1,cds-WP_020804789.1,cds-WP_002884034.1,cds-AF52_RS27415,cds-WP_004151552.1,cds-WP_002903681.1,cds-WP_002883015.1,cds-WP_002886897.1,cds-WP_004144995.1
20,cds-WP_002919219.1,cds-WP_004893550.1,cds-WP_000135199.1,cds-WP_002888056.1,cds-WP_021441401.1,cds-WP_002919516.1,cds-WP_002885691.1,cds-AF52_RS11970,cds-AF52_RS01000,cds-WP_004174272.1,cds-WP_004146224.1,cds-AF52_RS27415,cds-AF52_RS11970,cds-WP_032430213.1,cds-WP_032430302.1,cds-WP_002919748.1,cds-AF52_RS27605,cds-WP_004146224.1,cds-WP_002891634.1,cds-WP_004174272.1,cds-WP_002918423.1,cds-WP_004179068.1
21,cds-WP_002919773.1,cds-WP_002898408.1,cds-WP_002884747.1,cds-WP_002919545.1,cds-WP_002919794.1,cds-WP_004150944.1,cds-WP_002919759.1,cds-AF52_RS08005,cds-WP_002888562.1,cds-WP_004152420.1,cds-WP_002922636.1,cds-WP_032430171.1,cds-AF52_RS08005,cds-WP_032430155.1,cds-WP_032429691.1,cds-WP_002883400.1,cds-WP_170965341.1,cds-WP_002884740.1,cds-WP_002919665.1,cds-WP_002886947.1,cds-WP_004146034.1,cds-WP_032424651.1
22,cds-WP_004900541.1,cds-WP_004183439.1,cds-WP_021441082.1,cds-WP_032429833.1,cds-WP_002884726.1,cds-WP_002919257.1,cds-WP_002919224.1,cds-AF52_RS26545,cds-WP_002918417.1,cds-WP_002914027.1,cds-WP_004184289.1,cds-WP_004164645.1,cds-AF52_RS26730,cds-WP_000522253.1,cds-WP_004179067.1,cds-WP_002919667.1,cds-WP_032429885.1,cds-WP_004900926.1,cds-WP_009308402.1,cds-WP_021440872.1,cds-WP_004192475.1,cds-WP_002916613.1
23,cds-WP_032429482.1,cds-WP_000290724.1,cds-WP_004144995.1,cds-WP_002920113.1,cds-WP_004144995.1,cds-WP_002920113.1,cds-WP_004150977.1,cds-AF52_RS09845,cds-AF52_RS22870,cds-WP_004181324.1,cds-WP_021440195.1,cds-AF52_RS27385,cds-AF52_RS27390,cds-AF52_RS19800,cds-WP_004143800.1,cds-AF52_RS0124460,cds-AF52_RS27040,cds-WP_004145598.1,cds-WP_002890390.1,cds-WP_004178018.1,cds-WP_004150943.1,cds-WP_004148352.1
24,cds-WP_002919759.1,cds-WP_002884146.1,cds-WP_002884740.1,cds-WP_004151574.1,cds-WP_002889299.1,cds-WP_000829818.1,cds-WP_004885708.1,cds-AF52_RS14400,cds-AF52_RS16545,cds-WP_032429528.1,cds-WP_004173994.1,cds-AF52_RS27330,cds-AF52_RS26545,cds-WP_004177236.1,cds-WP_002916480.1,cds-WP_002918252.1,cds-AF52_RS27235,cds-WP_020802054.1,cds-WP_002884342.1,cds-WP_002898418.1,cds-WP_000124850.1,cds-AF52_RS0124105
25,cds-WP_004144748.1,cds-WP_002913162.1,cds-WP_002919786.1,cds-WP_001124225.1,cds-WP_002919515.1,cds-WP_002918252.1,cds-WP_002916740.1,cds-AF52_RS22890,cds-WP_002911388.1,cds-WP_002884034.1,cds-WP_004147529.1,cds-AF52_RS27260,cds-AF52_RS14415,cds-WP_000290724.1,cds-WP_004213494.1,cds-WP_002882917.1,cds-WP_032430142.1,cds-WP_002922415.1,cds-WP_002912442.1,cds-AF52_RS26555,cds-WP_004146997.1,cds-WP_002884146.1
26,cds-WP_002884146.1,cds-WP_004150295.1,cds-WP_002898139.1,cds-WP_002922413.1,cds-WP_002916277.1,cds-WP_002888628.1,cds-WP_002919219.1,cds-AF52_RS27390,cds-AF52_RS09845,cds-WP_002914160.1,cds-WP_002901816.1,cds-WP_032430142.1,cds-AF52_RS14400,cds-WP_002894954.1,cds-WP_002922415.1,cds-AF52_RS0124535,cds-AF52_RS27655,cds-WP_002887843.1,cds-WP_002895047.1,cds-WP_002917916.1,cds-WP_016529833.1,cds-WP_002890400.1
27,cds-WP_004144995.1,cds-WP_002913156.1,cds-WP_004177236.1,cds-WP_002919516.1,cds-WP_002885424.1,cds-WP_002914082.1,cds-WP_002898162.1,cds-AF52_RS26730,cds-WP_002907654.1,cds-WP_004142166.1,cds-WP_002890343.1,cds-WP_187079192.1,cds-AF52_RS09845,cds-WP_032430089.1,cds-WP_004150921.1,cds-WP_050484291.1,cds-WP_187079192.1,cds-WP_020802294.1,cds-WP_002896380.1,cds-WP_032414744.1,cds-WP_002919667.1,cds-WP_032428655.1
28,cds-WP_002895043.1,cds-WP_004144997.1,cds-WP_002888731.1,cds-WP_002884146.1,cds-AF52_RS19800,cds-WP_002895845.1,cds-WP_002919662.1,cds-AF52_RS11330,cds-WP_002922436.1,cds-WP_002887897.1,cds-WP_004145264.1,cds-AF52_RS27040,cds-WP_032430171.1,cds-WP_032429678.1,cds-WP_002918736.1,cds-WP_002914145.1,cds-WP_013815099.1,cds-WP_004151854.1,cds-WP_021440059.1,cds-WP_032422490.1,cds-WP_002919665.1,cds-WP_004151922.1
29,cds-WP_032424651.1,cds-WP_015958605.1,cds-WP_002894753.1,cds-WP_032429672.1,cds-WP_001124225.1,cds-WP_004185922.1,cds-WP_002914147.1,cds-AF52_RS14415,cds-AF52_RS11970,cds-WP_002886947.1,cds-WP_182920187.1,cds-AF52_RS26980,cds-AF52_RS27410,cds-WP_002918250.1,cds-WP_032417624.1,cds-WP_032430034.1,cds-AF52_RS27260,cds-WP_021440531.1,cds-WP_004179067.1,cds-WP_002912935.1,cds-WP_002921035.1,cds-WP_002898590.1
